Marker	Layer	SampleID
M1	20	SP6656
M2	20	SP6657
M3	20	SP6658
M4	20	SP6659
M5	19	SP6660
M6	19	SP6661
M7	20	SP6662
M8	20	SP6663
M9	20	SP6664
M10	20	SP6665
M11	19	SP6666
M12	19	SP6667
M13	22.1	SP6668
M14	20	SP6669
M15	20	SP6670
M16	20	SP6671
M17	19	SP6672
M18	19	SP6673
M19	22.1	SP6674
M20	22.1 up	SP6675
M21	20	SP6676
M22	20	SP6677
M23	20	SP6678
M24	19	SP6679
M25	22.1	SP6680
M26	22.1	SP6681
M27	22.1 up	SP6682
M28	20	SP6683
M29	20	SP6684
M30	20	SP6685
M31	22.1	SP6686
M32	22.1	SP6687
M33	22.1	SP6688
M34	22.1 up	SP6689
M35	20	SP6690
M36	20	SP6691
M37	22.1	SP6692
M38	22.1	SP6693
M39	22.1	SP6694
M40	22.1	SP6695
M41	22.1 up	SP6696
M42	22.1 up	SP6697
M43	22.1	SP6698
M44	22.1	SP6699
M45	22.1	SP6700
M46	22.1	SP6701
M47	22.1	SP6702
M48	22.1	SP6703
M49	19	SP6704
M50	19	SP6705
M51	19	SP6706
M52	19	SP6707
M53	19	SP6708
M54	19	SP6709
M55	19	SP6710
M56	19	SP6711
M57	19	SP6712
M58	19	SP6713
M59	19	SP6714
M60	19	SP6715
M61	19	SP6716
M62	19	SP6717
M63	19	SP6718
M64	19	SP6719
M65	19	SP6720
M66	20	SP6721
M67	20	SP6722
M68	19	SP6723
M69	19	SP6724
M70	20	SP6725
M71	20	SP6726
M72	20	SP6727
M73	20+19	SP6728
M74	20+19	SP6729
M75	20	SP6730
M76	20	SP6731
M77	20	SP6732
M78	22.1	SP6733
M79	20	SP6734
M80	20	SP6735
M81	20	SP6736
M82	20	SP6737
M83	19	SP6738
M84	22.2	SP6739
M85	22.2	SP6740
M86	22.2	SP6741
M87	22.2	SP6742
M88	22.2	SP6743
M89	22.2	SP6744
M90	22.2	SP6745
M91	22.2	SP6746
M92	22.2	SP6747
M93	22.1	SP6748
M94	22.1	SP6749
M95	22.1	SP6750
M96	22.2	SP6751
M97	22.2	SP6752
M98	22.2	SP6753
M99	22.2	SP6754
M100	22.2	SP6755
M101	22.1	SP6756
M102	22.1	SP6757
M103	22.1	SP6758
M104	22.1	SP6759
M105	22.1	SP6760
M106	22.2	SP6761
M107	22.2	SP6762
M108	22.2	SP6763
M109	22.2	SP6764
M110	22.2	SP6765
M111	22.2	SP6766
M112	22.1	SP6767
M113	22.1	SP6768
M114	22.1	SP6769
M115	22.1	SP6770
M116	22.2	SP6771
M117	22.2	SP6772
M118	22.2	SP6773
M119	22.2	SP6774
M120	22.2	SP6775
M121	22.1	SP6776
M122	22.1	SP6777
M123	22.1	SP6778
M124	22.1	SP6779
M125	22.1	SP6780
M126	22.2	SP6781
M127	22.2	SP6782
M128	22.2	SP6783
M129	22.2	SP6784
M130	22.1	SP6785
M131	22.1	SP6786
M132	22.1	SP6787
M133	22.1	SP6788
M134	22.1	SP6789
M135	22.1	SP6790
M136	22.1	SP6791
M137	22.1 up	SP6792
M138	22.1	SP6793
M139	22.1	SP6794
M140	22.1 up	SP6795
M141	22.1	SP6796
M142	22.1	SP6797
M143	22.1	SP6798
